iter	Logloss
0	0.6457540818
1	0.605034787
2	0.5692220995
3	0.5382376288
4	0.5112776042
5	0.489508212
6	0.4706026688
7	0.4527562513
8	0.4373565541
9	0.4238686672
10	0.4128701901
11	0.4022160212
12	0.3936886888
13	0.3857266512
14	0.3783550417
15	0.3721017474
16	0.3666490032
17	0.3618868098
18	0.3576600193
19	0.3536958971
20	0.3499959158
21	0.3469670641
22	0.3438490968
23	0.3414501847
24	0.3390310622
25	0.3368096692
26	0.3349919882
27	0.3331062397
28	0.331304215
29	0.3294514995
30	0.3279188525
31	0.3267661948
32	0.3253032056
33	0.3241288059
34	0.3229538957
35	0.3219739724
36	0.3209892819
37	0.3200745707
38	0.3192056102
39	0.318429228
40	0.3177568719
41	0.3169972971
42	0.3164061821
43	0.3157169444
44	0.3151700981
45	0.3146073611
46	0.3140986345
47	0.3136031604
48	0.3131842782
49	0.3126020636
50	0.3121716453
51	0.311820548
52	0.3115159391
53	0.3111469067
54	0.310807212
55	0.3104099199
56	0.3100957221
57	0.3098550379
58	0.3095657809
59	0.3093434887
60	0.3089840504
61	0.3086716313
62	0.3084461423
63	0.3082184728
64	0.3079467539
65	0.3077724706
66	0.3075796804
67	0.3074039925
68	0.3072673411
69	0.307044205
70	0.3068821797
71	0.3067420956
72	0.3066273446
73	0.3065106372
74	0.3063329708
75	0.3062074229
76	0.3061026137
77	0.3060132083
78	0.3059025734
79	0.3057316458
80	0.3055928407
81	0.3054531413
82	0.3053471748
83	0.3052708653
84	0.3051829988
85	0.305103894
86	0.3050079288
87	0.3048882071
88	0.3048023744
89	0.304737339
90	0.3046561219
91	0.304545044
92	0.3044829211
93	0.3044231421
94	0.3043210439
95	0.3042543201
96	0.3041684213
97	0.3040787589
98	0.3040365468
99	0.3039827715
100	0.3039008262
101	0.3038204148
102	0.3037652867
103	0.303685462
104	0.3036397887
105	0.303602342
106	0.3035313744
107	0.3034865082
108	0.303439444
109	0.3033999015
110	0.3033423072
111	0.3032951025
112	0.3032563318
113	0.3032004101
114	0.3031362727
115	0.3030967467
116	0.3030562967
117	0.303018328
118	0.3029813677
119	0.3029268473
120	0.3028988304
121	0.3028583563
122	0.3028305224
123	0.3027985846
124	0.3027624783
125	0.3027331247
126	0.3026807786
127	0.3026530519
128	0.3026009463
129	0.3025718764
130	0.3025326288
131	0.3024988183
132	0.3024704925
133	0.302427286
134	0.302386582
135	0.3023516773
136	0.3023090836
137	0.3022826221
138	0.302249622
139	0.3022238875
140	0.3021955868
141	0.3021644365
142	0.30213618
143	0.3021072326
144	0.302082866
145	0.302062
146	0.3020310946
147	0.3020126822
148	0.301986696
149	0.3019595305
150	0.3019388841
151	0.3019158673
152	0.3018933578
153	0.3018581794
154	0.3018355025
155	0.3018180097
156	0.3017812987
157	0.3017573085
158	0.3017309877
159	0.3016945993
160	0.3016709122
161	0.3016448883
162	0.3016166454
163	0.3015862614
164	0.3015492722
165	0.3015308908
166	0.301507659
167	0.3014880774
168	0.301471416
169	0.3014540027
170	0.3014272336
171	0.3013999121
172	0.3013826151
173	0.3013619056
174	0.3013407289
175	0.3012983824
176	0.3012802773
177	0.3012624002
178	0.3012426987
179	0.3012094894
180	0.3011948208
181	0.3011760269
182	0.3011556206
183	0.301139142
184	0.3011190074
185	0.3011002384
186	0.301084658
187	0.3010584025
188	0.301045296
189	0.301032319
190	0.3010163271
191	0.3010036137
192	0.3009888995
193	0.300976374
194	0.3009597217
195	0.3009446618
196	0.3009332182
197	0.3009122786
198	0.3008973457
199	0.3008822082
200	0.3008690921
201	0.3008549722
202	0.3008499306
203	0.3008404315
204	0.3008216747
205	0.3008080886
206	0.3007962694
207	0.3007769385
208	0.3007636253
209	0.3007406153
210	0.3007272645
211	0.3007096876
212	0.3007030857
213	0.3006907271
214	0.3006723815
215	0.3006594362
216	0.3006434571
217	0.3006304819
218	0.3006234221
219	0.300611214
220	0.3006017611
221	0.3005866154
222	0.3005733828
223	0.3005623418
224	0.3005475503
225	0.3005362151
226	0.3005220333
227	0.3005090494
228	0.3004982674
229	0.3004840087
230	0.3004678631
231	0.3004517619
232	0.3004420223
